PLAYER_NAME,GAME_DATE,predicted_points,line,bet,actual_points,win,profit
Jordan Clarkson,2023-11-02,14.174063179311954,13.5,over,21,1,90.91
Cade Cunningham,2023-11-02,20.73842779688403,23.0,under,22,1,90.91
Gradey Dick,2023-11-02,6.560291509635714,5.0,over,0,0,-100.0
Ochai Agbaji,2023-11-02,4.643303402700256,2.5,over,2,0,-100.0
Pascal Siakam,2023-11-02,17.242416074915727,18.0,under,10,1,90.91
Walker Kessler,2023-11-02,9.41633234643358,8.5,over,4,0,-100.0
Jakob Poeltl,2023-11-02,10.294086873442074,10.0,over,9,0,-100.0
Keyonte George,2023-11-02,9.099870603708188,8.0,over,6,0,-100.0
Marcus Sasser,2023-11-02,5.852207966844356,5.0,over,19,1,90.91
Kelly Olynyk,2023-11-02,8.51086773246375,9.0,under,4,1,90.91
Ausar Thompson,2023-11-02,12.735126412455672,10.0,over,16,1,90.91
Dennis Schröder,2023-11-02,14.320358029806577,16.0,under,13,1,90.91
Jaden Ivey,2023-11-02,10.892694808902831,12.0,under,12,0,-100.0
Isaiah Stewart,2023-11-02,12.588078510154109,13.5,under,11,1,90.91
Lauri Markkanen,2023-11-02,23.209103784949615,24.0,under,22,1,90.91
Gary Trent Jr.,2023-11-02,12.821720983195926,10.0,over,8,0,-100.0
Kris Dunn,2023-11-02,5.43817399753736,4.0,over,2,0,-100.0
Scottie Barnes,2023-11-02,23.112736244341317,21.0,over,24,1,90.91
Collin Sexton,2023-11-02,11.988025201892034,14.0,under,10,1,90.91
Marvin Bagley III,2023-11-02,11.657016380728875,11.0,over,6,0,-100.0
John Collins,2023-11-02,14.171413210344983,14.0,over,20,1,90.91
Zeke Nnaji,2023-11-03,5.824597803320868,5.0,over,4,0,-100.0
Max Strus,2023-11-03,14.717191967300334,14.0,over,10,0,-100.0
Nikola Vučević,2023-11-03,16.80568078720966,16.0,over,13,0,-100.0
Immanuel Quickley,2023-11-03,12.5268075632204,16.0,under,14,1,90.91
DeMar DeRozan,2023-11-03,23.804651929018046,22.0,over,24,1,90.91
Deandre Ayton,2023-11-03,10.199368779767877,10.0,over,16,1,90.91
Isaiah Joe,2023-11-03,8.860017103164687,8.5,over,16,1,90.91
Mitchell Robinson,2023-11-03,6.929005191342198,6.0,over,0,0,-100.0
Kevon Looney,2023-11-03,7.005171160708442,7.0,over,4,0,-100.0
Zach LaVine,2023-11-03,21.685912357073953,24.0,under,24,0,-100.0
Duncan Robinson,2023-11-03,11.047395536754836,10.5,over,18,1,90.91
Nikola Jokić,2023-11-03,30.299898529913893,26.0,over,33,1,90.91
