player_name,bookmaker,line,predicted_points,P_over_model,P_over_market,edge_over,edge_under,best_side,best_edge
Peyton Watson,FanDuel,9.5,18.59390762743906,0.8779889534333825,0.4939310568053083,0.38405789662807416,-0.3840578966280741,over,0.38405789662807416
Donovan Mitchell,FanDuel,29.5,23.4086518823334,0.10042642462695905,0.4735298908617039,-0.37310346623474483,0.3731034662347448,under,0.3731034662347448
Ace Bailey,FanDuel,24.5,14.04907622475289,0.12059140041756433,0.4718423169750604,-0.3512509165574961,0.35125091655749596,under,0.35125091655749596
Luka Doncic,BetOnline.ag,34.5,24.165881346070893,0.1585235063261916,0.4876847290640395,-0.32916122273784787,0.32916122273784776,under,0.32916122273784776
Luka Doncic,DraftKings,34.5,24.165881346070893,0.1585235063261916,0.487517163899638,-0.3289936575734464,0.32899365757344634,under,0.32899365757344634
Luka Doncic,FanDuel,34.5,24.165881346070893,0.1585235063261916,0.48581617766250607,-0.32729267133631446,0.32729267133631446,under,0.32729267133631446
Jalen Duren,FanDuel,22.5,16.38510259272389,0.22749690093373376,0.5240847784200385,-0.2965878774863048,0.2965878774863048,under,0.2965878774863048
Jalen Duren,DraftKings,23.5,16.38510259272389,0.1923428583786061,0.47614107883817425,-0.28379822045956815,0.28379822045956815,under,0.28379822045956815
Joel Embiid,DraftKings,22.5,26.08936090847961,0.7590284362035362,0.480324745257228,0.2787036909463082,-0.2787036909463082,over,0.2787036909463082
Kristaps Porzingis,DraftKings,17.5,12.14514195910124,0.24387750496832683,0.5145711906744379,-0.2706936857061111,0.27069368570611113,under,0.27069368570611113
Will Riley,FanDuel,16.5,12.780404147342425,0.2730045011072251,0.532258064516129,-0.25925356340890393,0.25925356340890404,under,0.25925356340890404
Joel Embiid,FanDuel,22.5,26.08936090847961,0.7590284362035362,0.5,0.2590284362035362,-0.2590284362035362,over,0.2590284362035362
Daniss Jenkins,DraftKings,16.5,12.068602665648084,0.25041716148266013,0.5020774472328402,-0.25166028575018007,0.2516602857501802,under,0.2516602857501802
Daniss Jenkins,FanDuel,16.5,12.068602665648084,0.25041716148266013,0.4939310568053083,-0.24351389532264817,0.24351389532264822,under,0.24351389532264822
Jaime Jaquez Jr,FanDuel,10.5,15.70240431865455,0.7784748994603051,0.5379072681704261,0.240567631289879,-0.24056763128987907,over,0.240567631289879
Kristaps Porzingis,FanDuel,17.5,12.14514195910124,0.24387750496832683,0.4808467741935484,-0.23696926922522155,0.23696926922522155,under,0.23696926922522155
Pascal Siakam,DraftKings,20.5,24.05704925802299,0.7396697558535226,0.5041554124246831,0.23551434342883948,-0.23551434342883937,over,0.23551434342883948
Jalen Williams,DraftKings,12.5,17.342632856478094,0.749869032006786,0.5145711906744379,0.2352978413323481,-0.23529784133234805,over,0.2352978413323481
Bones Hyland,BetOnline.ag,14.5,10.317718464906731,0.25538688048611946,0.48974190636412124,-0.23435502587800178,0.23435502587800183,under,0.23435502587800183
Jalen Williams,BetOnline.ag,12.5,17.342632856478094,0.749869032006786,0.5164392569455861,0.23342977506119988,-0.2334297750612,over,0.23342977506119988
Tristan Vukcevic,FanDuel,12.5,9.065421074179323,0.29186411568724324,0.5240847784200385,-0.2322206627327953,0.2322206627327953,under,0.2322206627327953
John Konchar,FanDuel,7.5,5.070744826562657,0.2718213431175044,0.4939310568053083,-0.2221097136878039,0.22210971368780397,under,0.22210971368780397
Jalen Williams,FanDuel,13.5,17.342632856478094,0.70363397577884,0.48987854251012153,0.2137554332687185,-0.2137554332687186,over,0.2137554332687185
Dylan Harper,FanDuel,15.5,11.839289981246484,0.2933251862922518,0.5,-0.2066748137077482,0.2066748137077482,under,0.2066748137077482
Dylan Harper,BetOnline.ag,15.5,11.839289981246484,0.2933251862922518,0.4969046636401156,-0.2035794773478638,0.20357947734786375,under,0.20357947734786375
Jared McCain,DraftKings,7.5,10.816340257547084,0.6753976586069346,0.47404053829539794,0.20135712031153663,-0.20135712031153663,over,0.20135712031153663
Luguentz Dort,FanDuel,6.5,8.235979983298373,0.6678539625274493,0.4677419354838709,0.20011202704357844,-0.20011202704357833,over,0.20011202704357844
Davion Mitchell,FanDuel,7.5,10.373700053635192,0.7266988854177091,0.5281576830249397,0.1985412023927694,-0.1985412023927695,over,0.1985412023927694
Ajay Mitchell,DraftKings,11.5,14.07253740202727,0.6888020263698984,0.4916850288945246,0.1971169974753738,-0.1971169974753738,over,0.1971169974753738
Dylan Harper,DraftKings,15.5,11.839289981246484,0.2933251862922518,0.4896023956080519,-0.19627720931580012,0.19627720931580017,under,0.19627720931580017
Luguentz Dort,BetOnline.ag,6.5,8.235979983298373,0.6678539625274493,0.4723111001722865,0.19554286235516283,-0.19554286235516283,over,0.19554286235516283
Jared McCain,BetOnline.ag,7.5,10.816340257547084,0.6753976586069346,0.48149290561381863,0.19390475299311594,-0.19390475299311594,over,0.19390475299311594
Luguentz Dort,DraftKings,6.5,8.235979983298373,0.6678539625274493,0.47614107883817425,0.19171288368927508,-0.19171288368927508,over,0.19171288368927508
Jared McCain,FanDuel,6.5,10.816340257547084,0.7230836674966552,0.532258064516129,0.1908256029805262,-0.1908256029805261,over,0.1908256029805262
Keon Ellis,FanDuel,6.5,9.096318538942201,0.6574566710546463,0.4677419354838709,0.18971473557077545,-0.18971473557077534,over,0.18971473557077545
Josh Minott,FanDuel,13.5,9.396054887902398,0.3181163180982428,0.5060689431946916,-0.18795262509644883,0.1879526250964489,under,0.1879526250964489
Christian Braun,FanDuel,11.5,14.25350560100447,0.657694282601423,0.4718423169750604,0.18585196562636264,-0.18585196562636275,over,0.18585196562636264
Ajay Mitchell,BetOnline.ag,11.5,14.07253740202727,0.6888020263698984,0.5030953363598845,0.18570669001001394,-0.185706690010014,over,0.18570669001001394
Nick Richards,DraftKings,10.5,8.640565992849522,0.3210163949999366,0.5062344139650873,-0.18521801896515067,0.18521801896515067,under,0.18521801896515067
Pascal Siakam,FanDuel,21.5,24.05704925802299,0.6778692767506749,0.4939310568053083,0.18393821994536658,-0.18393821994536652,over,0.18393821994536658
Jay Huff,FanDuel,9.5,11.576874261496195,0.6836275482585582,0.5,0.1836275482585582,-0.1836275482585582,over,0.1836275482585582
Pascal Siakam,BetOnline.ag,21.5,24.05704925802299,0.6778692767506749,0.4948402542722694,0.18302902247840547,-0.18302902247840536,over,0.18302902247840547
Cason Wallace,BetOnline.ag,6.5,8.004477192003378,0.6391777695458349,0.4564539116366858,0.18272385790914913,-0.18272385790914913,over,0.18272385790914913
Cason Wallace,DraftKings,5.5,8.004477192003378,0.7234304986181794,0.5419996102124343,0.18143088840574517,-0.18143088840574517,over,0.18143088840574517
Andrew Wiggins,FanDuel,12.5,15.481079200303384,0.6618363479171556,0.4808467741935484,0.18098957372360724,-0.18098957372360724,over,0.18098957372360724
Jabari Smith Jr,FanDuel,14.5,16.78079307621541,0.6425455206860056,0.46209273182957394,0.18045278885643162,-0.18045278885643168,over,0.18045278885643162
Sam Hauser,FanDuel,6.5,9.324720137196357,0.7069950104371129,0.5281576830249397,0.17883732741217317,-0.17883732741217329,over,0.17883732741217317
Cason Wallace,FanDuel,6.5,8.004477192003378,0.6391777695458349,0.46209273182957394,0.177085037716261,-0.17708503771626105,over,0.177085037716261
Reed Sheppard,FanDuel,15.5,12.002943872106293,0.30729437423590866,0.4808467741935484,-0.1735523999576397,0.1735523999576397,under,0.1735523999576397
G.G. Jackson,DraftKings,15.5,17.585965702830666,0.6989877614609297,0.5259594617046021,0.1730282997563276,-0.1730282997563276,over,0.1730282997563276
Nick Richards,FanDuel,10.5,8.640565992849522,0.3210163949999366,0.4939310568053083,-0.17291466180537168,0.17291466180537174,under,0.17291466180537174
Jabari Smith Jr,BetOnline.ag,14.5,16.78079307621541,0.6425455206860056,0.4723111001722865,0.17023442051371906,-0.17023442051371906,over,0.17023442051371906
Ajay Mitchell,FanDuel,11.5,14.07253740202727,0.6888020263698984,0.5191532258064516,0.16964880056344678,-0.16964880056344678,over,0.16964880056344678
Jalen Wilson,FanDuel,10.5,7.715322171645342,0.30627228747146806,0.47591522157996147,-0.1696429341084934,0.1696429341084934,under,0.1696429341084934
Paul George,DraftKings,15.5,11.885041432781923,0.30749157337517163,0.47404053829539794,-0.1665489649202263,0.1665489649202263,under,0.1665489649202263
Jalen Johnson,FanDuel,21.5,25.32308781449851,0.6665158647206387,0.5,0.16651586472063873,-0.16651586472063873,over,0.16651586472063873
Pelle Larsson,FanDuel,10.5,13.005413142976167,0.6471575011043851,0.4808467741935484,0.1663107269108367,-0.1663107269108367,over,0.1663107269108367
Baylor Scheierman,FanDuel,4.5,6.832680481896761,0.7031356939757648,0.5379072681704261,0.1652284258053387,-0.16522842580533875,over,0.1652284258053387
Jay Huff,BetOnline.ag,9.5,11.576874261496195,0.6836275482585582,0.519675254742772,0.16395229351578622,-0.16395229351578622,over,0.16395229351578622
Dean Wade,FanDuel,5.5,7.1462207512234945,0.6256656481165085,0.46209273182957394,0.16357291628693454,-0.1635729162869346,over,0.16357291628693454
Payton Pritchard,DraftKings,14.5,17.862227849606285,0.6466630489884834,0.4833368048323266,0.16332624415615676,-0.16332624415615682,over,0.16332624415615676
Jalen Johnson,DraftKings,21.5,25.32308781449851,0.6665158647206387,0.5041554124246831,0.16236045229595564,-0.16236045229595553,over,0.16236045229595564
Bobby Portis,FanDuel,14.5,16.384998071476513,0.6364680404018956,0.47591522157996147,0.16055281882193417,-0.16055281882193417,over,0.16055281882193417
Paul George,FanDuel,15.5,11.885041432781923,0.30749157337517163,0.4677419354838709,-0.16025036210869925,0.16025036210869936,under,0.16025036210869936
Jabari Smith Jr,DraftKings,14.5,16.78079307621541,0.6425455206860056,0.48448874917273327,0.1580567715132723,-0.15805677151327235,over,0.1580567715132723
Zaccharie Risacher,FanDuel,7.5,9.337489746400124,0.6191395885138496,0.46209273182957394,0.1570468566842757,-0.15704685668427576,over,0.1570468566842757
Baylor Scheierman,DraftKings,5.5,6.832680481896761,0.6197252296091827,0.46281519310564956,0.1569100365035332,-0.1569100365035333,over,0.1569100365035332
Payton Pritchard,BetOnline.ag,13.5,17.862227849606285,0.6873152805983235,0.5306122448979592,0.15670303570036426,-0.15670303570036437,over,0.15670303570036426
Payton Pritchard,FanDuel,13.5,17.862227849606285,0.6873152805983235,0.532258064516129,0.15505721608219447,-0.15505721608219436,over,0.15505721608219447
