player_name,bookmaker,line,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Joel Embiid,DraftKings,22.5,27.68955388273868,5.104464277037882,"(5.0, 10.0]",0.7368421052631579,0.26315789473684215,0.480324745257228,0.519675254742772,0.25651736000592984,-0.25651736000592984,over,0.25651736000592984
Peyton Watson,FanDuel,9.5,18.707562664226792,7.805980613179443,"(5.0, 10.0]",0.7368421052631579,0.26315789473684215,0.4939310568053083,0.5060689431946916,0.24291104845784955,-0.2429110484578495,over,0.24291104845784955
Joel Embiid,FanDuel,22.5,27.68955388273868,5.104464277037882,"(5.0, 10.0]",0.7368421052631579,0.26315789473684215,0.5,0.5,0.23684210526315785,-0.23684210526315785,over,0.23684210526315785
Daniss Jenkins,DraftKings,16.5,11.279566543076296,6.582805886043831,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.5020774472328402,0.4979225527671597,-0.19699270147012832,0.19699270147012837,under,0.19699270147012837
Daniss Jenkins,FanDuel,16.5,11.279566543076296,6.582805886043831,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.4939310568053083,0.5060689431946916,-0.18884631104259642,0.18884631104259642,under,0.18884631104259642
Bones Hyland,BetOnline.ag,14.5,9.389178201182089,6.359594676112968,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.48974190636412124,0.5102580936358787,-0.18465716060140935,0.18465716060140935,under,0.18465716060140935
Luka Doncic,BetOnline.ag,34.5,27.748336006828072,10.328493490232626,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.4876847290640395,0.5123152709359606,-0.1825999833013276,0.18259998330132743,under,0.18259998330132743
Luka Doncic,DraftKings,34.5,27.748336006828072,10.328493490232626,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.487517163899638,0.512482836100362,-0.18243241813692612,0.182432418136926,under,0.182432418136926
Luka Doncic,FanDuel,34.5,27.748336006828072,10.328493490232626,"(-10.0, -5.0]",0.3050847457627119,0.6949152542372881,0.48581617766250607,0.5141838223374939,-0.18073143189979418,0.18073143189979413,under,0.18073143189979413
Pascal Siakam,FanDuel,21.5,24.667599544144657,5.537749241945389,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.4939310568053083,0.5060689431946916,0.170833565163308,-0.17083356516330794,over,0.170833565163308
